ticker,sector,exchange,volume of listed
BTU,Dịch vụ chuyên biệt và thương mại,UPCoM,3600000
BTV,Dịch vụ tiêu dùng,UPCoM,25000000
BTW,Dịch vụ tiện ích,HNX,9360000
BVB,Tổ chức tín dụng,UPCoM,551846215
BVG,Nguyên vật liệu,UPCoM,9750948
BVH,Bảo hiểm,HOSE,742322764
BVL,Phát triển và quản lý bất động sản,UPCoM,82788300
BVN,Hàng tiêu dùng và trang trí,UPCoM,5000000
BVS,Dịch vụ tài chính,HNX,72233937
BWA,Dịch vụ tiện ích,UPCoM,2700000
BWE,Dịch vụ tiện ích,HOSE,192920000
BWS,Dịch vụ tiện ích,UPCoM,100007569
BXH,Nguyên vật liệu,HNX,3012040
C12,Tư liệu sản xuất,UPCoM,4850000
C21,Phát triển và quản lý bất động sản,UPCoM,19336371
C22,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3550000
C32,Nguyên vật liệu,HOSE,15030145
C47,Tư liệu sản xuất,HOSE,18722143
C4G,Tư liệu sản xuất,UPCoM,357300754
C69,Tư liệu sản xuất,HNX,61799972
C92,Tư liệu sản xuất,UPCoM,5312920
CAB,Truyền thông và giải trí,UPCoM,45745876
CAD,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8799927
CAG,Vận tải,HNX,13800000
CAN,"Thực phẩm, đồ uống và thuốc lá",HNX,5000000
CAP,"Thực phẩm, đồ uống và thuốc lá",HNX,15269965
CAR,Dịch vụ tiêu dùng,HNX,5059098
CAT,"Thực phẩm, đồ uống và thuốc lá",UPCoM,9748579
CBI,Nguyên vật liệu,UPCoM,43006366
CBS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5291868
CC1,Tư liệu sản xuất,UPCoM,358507825
CC4,Tư liệu sản xuất,UPCoM,64000000
CCA,"Thực phẩm, đồ uống và thuốc lá",UPCoM,15092326
CCC,Tư liệu sản xuất,UPCoM,40250000
CCI,Phân phối và bán lẻ hàng lâu bền,HOSE,17743865
CCL,Phát triển và quản lý bất động sản,HOSE,47499885
CCM,Nguyên vật liệu,UPCoM,6199900
CCP,Vận tải,UPCoM,2400000
CCR,Vận tải,HNX,24501817
CCT,Vận tải,UPCoM,28480000
CCV,Dịch vụ chuyên biệt và thương mại,UPCoM,1800000
CDC,Phát triển và quản lý bất động sản,HOSE,21988716
CDG,Nguyên vật liệu,UPCoM,3464995
CDH,Dịch vụ tiện ích,UPCoM,2000000
CDN,Vận tải,HNX,99000000
CDO,Phân phối và bán lẻ hàng lâu bền,UPCoM,31504975
CDP,Phân phối và bán lẻ hàng lâu bền,UPCoM,18270000
CDR,Tư liệu sản xuất,UPCoM,2133271
CE1,Tư liệu sản xuất,UPCoM,6000000
CEG,Tư liệu sản xuất,UPCoM,3800000
CEN,Phân phối và bán lẻ hàng lâu bền,UPCoM,21712440
CEO,Phát triển và quản lý bất động sản,HNX,540406432
CET,Hàng tiêu dùng và trang trí,HNX,6050000
CFM,Dịch vụ tiêu dùng,UPCoM,2000000
CFV,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8096000
CGV,Nguyên vật liệu,UPCoM,9499956
CH5,Tư liệu sản xuất,UPCoM,3732450
CHC,Nguyên vật liệu,UPCoM,6731596
CHP,Dịch vụ tiện ích,HOSE,146912668
CHS,Tư liệu sản xuất,UPCoM,28400000
CI5,Tư liệu sản xuất,UPCoM,2700000
CIA,Vận tải,HNX,19709904
CID,Phát triển và quản lý bất động sản,UPCoM,1082000
CIG,Phát triển và quản lý bất động sản,HOSE,31539947
CII,Tư liệu sản xuất,HOSE,283168152
CIP,Tư liệu sản xuất,UPCoM,4545000
CJC,Tư liệu sản xuất,HNX,8000000
CK8,Vận tải,UPCoM,3000000
CKA,Nguyên vật liệu,UPCoM,3286404
CKD,Nguyên vật liệu,UPCoM,31000000
CKG,Phát triển và quản lý bất động sản,HOSE,82499781
CKV,Dịch vụ viễn thông,HNX,4050000
CLC,"Thực phẩm, đồ uống và thuốc lá",HOSE,26207583
CLG,Tư liệu sản xuất,UPCoM,21150000
CLH,Nguyên vật liệu,HNX,12000000
CLL,Vận tải,HOSE,34000000
CLM,Năng lượng,HNX,11000000
CLW,Dịch vụ tiện ích,HOSE,13000000
CLX,Phân phối và bán lẻ hàng lâu bền,UPCoM,86600000
CMC,Phân phối và bán lẻ hàng lâu bền,HNX,4561050
CMD,Phân phối và bán lẻ hàng lâu bền,UPCoM,15000000
CMF,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8100000
CMG,Phần mềm và dịch vụ,HOSE,99999866
CMI,Nguyên vật liệu,UPCoM,15002500
CMK,Phân phối và bán lẻ hàng lâu bền,UPCoM,1432578
CMM,"Thực phẩm, đồ uống và thuốc lá",UPCoM,91849998
CMN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,4800000
CMP,Vận tải,UPCoM,32405415
CMS,Tư liệu sản xuất,HNX,25452500
CMT,Phần mềm và dịch vụ,UPCoM,8000000
CMV,Phân phối và bán lẻ hàng lâu bền,HOSE,18155868
CMW,Dịch vụ tiện ích,UPCoM,15534900
CMX,"Thực phẩm, đồ uống và thuốc lá",HOSE,30408751
CNA,"Thực phẩm, đồ uống và thuốc lá",UPCoM,793917
CNC,Phân phối và bán lẻ hàng lâu bền,UPCoM,11364325
CNG,Dịch vụ tiện ích,HOSE,27000000
CNN,Dịch vụ chuyên biệt và thương mại,UPCoM,8800000
CNT,Phân phối và bán lẻ hàng lâu bền,UPCoM,50392785
COM,Phân phối và bán lẻ hàng lâu bền,HOSE,14120628
CPA,"Thực phẩm, đồ uống và thuốc lá",UPCoM,23627990
CPC,Nguyên vật liệu,HNX,4303050
CPH,Dịch vụ tiêu dùng,UPCoM,4400000
CPI,Vận tải,UPCoM,36505000
CQN,Vận tải,UPCoM,75049936
CQT,Nguyên vật liệu,UPCoM,25000000
CRC,Nguyên vật liệu,HOSE,15000000
CRE,Phát triển và quản lý bất động sản,HOSE,95999908
CSC,Phát triển và quản lý bất động sản,HNX,37408982
CSI,Dịch vụ tài chính,UPCoM,16800000
CSM,Xe và linh kiện,HOSE,103626467
CST,Năng lượng,UPCoM,42846773
CSV,Nguyên vật liệu,HOSE,44200000
CT3,Tư liệu sản xuất,UPCoM,8799849
CT6,Tư liệu sản xuất,UPCoM,6108078
CTA,Nguyên vật liệu,UPCoM,8454381
CTB,Tư liệu sản xuất,HNX,13680000
CTC,Dịch vụ tiêu dùng,HNX,15799926
CTD,Tư liệu sản xuất,HOSE,79255000
CTF,Phân phối và bán lẻ hàng lâu bền,HOSE,68300000
CTG,Tổ chức tín dụng,HOSE,3723404556
CTI,Tư liệu sản xuất,HOSE,62999997
CTN,Tư liệu sản xuất,UPCoM,6958345
CTP,"Thực phẩm, đồ uống và thuốc lá",HNX,12099992
CTR,Dịch vụ viễn thông,HOSE,0
CTS,Dịch vụ tài chính,HOSE,106436576
CTT,Tư liệu sản xuất,HNX,4697351
CTW,Dịch vụ tiện ích,UPCoM,28000000
CTX,Tư liệu sản xuất,UPCoM,78907276
CVN,"Thực phẩm, đồ uống và thuốc lá",HNX,29699991
CVT,Nguyên vật liệu,HOSE,36690887
CX8,Tư liệu sản xuất,HNX,2553771
CYC,Nguyên vật liệu,UPCoM,1990530
D11,Phát triển và quản lý bất động sản,HNX,7338138
D17,Phân phối và bán lẻ hàng lâu bền,UPCoM,5259700
D2D,Phát triển và quản lý bất động sản,HOSE,30304758
DAC,Nguyên vật liệu,UPCoM,1004974
DAD,Truyền thông và giải trí,HNX,5000000
DAE,Truyền thông và giải trí,HNX,1925658
DAG,Nguyên vật liệu,UPCoM,60314112
DAH,Dịch vụ tiêu dùng,HOSE,34200000
DAN,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,20938000
DAS,Phân phối và bán lẻ hàng lâu bền,UPCoM,4200000
DAT,"Thực phẩm, đồ uống và thuốc lá",HOSE,46005413
DBC,"Thực phẩm, đồ uống và thuốc lá",HOSE,115239430
DBD,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,57612444
DBM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,1941588
DBT,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,14205116
DC1,Tư liệu sản xuất,UPCoM,4504337
DC2,Tư liệu sản xuất,HNX,7556341
DC4,Tư liệu sản xuất,HOSE,31999758
DCF,Tư liệu sản xuất,UPCoM,30000000
DCG,Hàng tiêu dùng và trang trí,UPCoM,6825000
DCH,Dịch vụ chuyên biệt và thương mại,UPCoM,2880000
DCL,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,56832824
DCM,Nguyên vật liệu,HOSE,529400000
DCR,Nguyên vật liệu,UPCoM,6500000
DCS,Hàng tiêu dùng và trang trí,UPCoM,60310988
DCT,Nguyên vật liệu,UPCoM,27223647
DDG,Dịch vụ tiện ích,HNX,59839886
DDH,Vận tải,UPCoM,3600000
DDM,Vận tải,UPCoM,12244495
DDN,Phân phối và bán lẻ hàng lâu bền,UPCoM,15349328
DDV,Nguyên vật liệu,UPCoM,146109900
DFC,Nguyên vật liệu,UPCoM,11400000
DFF,Tư liệu sản xuất,UPCoM,80000000
DGC,Nguyên vật liệu,HOSE,171080556
DGT,Tư liệu sản xuất,UPCoM,79000000
DGW,Phân phối và bán lẻ hàng lâu bền,HOSE,44351747
DHA,Nguyên vật liệu,HOSE,15119946
DHB,Nguyên vật liệu,UPCoM,272200000
DHC,Nguyên vật liệu,HOSE,55995783
DHD,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,27947317
DHG,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,130746071
DHM,Nguyên vật liệu,HOSE,31396180
DHN,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,6290900
DHP,Hàng tiêu dùng và trang trí,HNX,9492200
DHT,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,82341773
DIC,Phân phối và bán lẻ hàng lâu bền,UPCoM,26585840
DID,Nguyên vật liệu,UPCoM,15622552
DIG,Phát triển và quản lý bất động sản,HOSE,409890962
DIH,Tư liệu sản xuất,HNX,6879164
DKC,Phát triển và quản lý bất động sản,UPCoM,2288540
DL1,Vận tải,HNX,106236094
DLD,Dịch vụ tiêu dùng,UPCoM,9307415
DLG,Tư liệu sản xuất,HOSE,299309720
DLR,Tư liệu sản xuất,UPCoM,4500000
DLT,Dịch vụ tiêu dùng,UPCoM,2500056
DM7,Hàng tiêu dùng và trang trí,UPCoM,15411100
DMC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,34727465
DMN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12500000
DMS,Đồ gia dụng và cá nhân,UPCoM,4000000
DNA,Dịch vụ tiện ích,UPCoM,56329567
DNC,Dịch vụ tiện ích,HNX,8027780
DND,Nguyên vật liệu,UPCoM,8834000
DNE,Dịch vụ tiện ích,UPCoM,5773600
DNH,Dịch vụ tiện ích,UPCoM,422400000
DNL,Vận tải,UPCoM,4310000
DNM,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,5253070
DNN,Dịch vụ tiện ích,UPCoM,57964061
DNP,Nguyên vật liệu,HNX,140974846
DNT,Dịch vụ tiêu dùng,UPCoM,7459675
DNW,Dịch vụ tiện ích,UPCoM,120000000
DOC,Nguyên vật liệu,UPCoM,10000000
DOP,Vận tải,UPCoM,4719950
DP1,Phân phối và bán lẻ hàng lâu bền,UPCoM,20979000
DP2,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,20000000
DP3,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,21499933
DPC,Nguyên vật liệu,UPCoM,2237280
DPG,Tư liệu sản xuất,HOSE,44999810
DPH,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,3000000
DPM,Nguyên vật liệu,HOSE,391400000
DPP,Phân phối và bán lẻ hàng lâu bền,UPCoM,3000010
DPR,Nguyên vật liệu,HOSE,43000000
DPS,Phân phối và bán lẻ hàng lâu bền,UPCoM,31085257
DQC,Hàng tiêu dùng và trang trí,HOSE,34359416
DRC,Xe và linh kiện,HOSE,118792605
DRG,Nguyên vật liệu,UPCoM,1658400
DRH,Phát triển và quản lý bất động sản,HOSE,60999933
DRI,Nguyên vật liệu,UPCoM,73200000
DRL,Dịch vụ tiện ích,HOSE,9500000
DS3,Vận tải,HNX,10669730
DSC,Dịch vụ tài chính,HOSE,0
DSD,Dịch vụ tiêu dùng,UPCoM,47100000
DSE,Dịch vụ tài chính,HOSE,0
DSG,Hàng tiêu dùng và trang trí,UPCoM,30000000
DSN,Dịch vụ tiêu dùng,HOSE,12083009
DSP,Dịch vụ tiêu dùng,UPCoM,118684000
DST,Truyền thông và giải trí,HNX,32300000
DTA,Phát triển và quản lý bất động sản,HOSE,18059832
DTB,Dịch vụ chuyên biệt và thương mại,UPCoM,1558248
DTC,Nguyên vật liệu,HNX,10000000
DTD,Phát triển và quản lý bất động sản,HNX,57488785
DTE,Dịch vụ tiện ích,UPCoM,50725887
DTG,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,8352573
