ticker,sector,exchange,volume of listed
PID,Dịch vụ chuyên biệt và thương mại,UPCoM,4000000
PIS,Nguyên vật liệu,UPCoM,27500000
PIT,Phân phối và bán lẻ hàng lâu bền,HOSE,15199345
PIV,Phân phối và bán lẻ hàng lâu bền,UPCoM,17324942
PJC,Vận tải,HNX,7326928
PJS,Dịch vụ tiện ích,UPCoM,9000000
PJT,Vận tải,HOSE,15360478
PLA,Phát triển và quản lý bất động sản,UPCoM,10000000
PLC,Nguyên vật liệu,HNX,80798839
PLE,Dịch vụ chuyên biệt và thương mại,UPCoM,1215000
PLO,Phân phối và bán lẻ hàng lâu bền,UPCoM,7192550
PLP,Nguyên vật liệu,HOSE,40000000
PLX,Phân phối và bán lẻ hàng lâu bền,HOSE,1293878081
PMB,Nguyên vật liệu,HNX,12000000
PMC,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,9332573
PMG,Phân phối và bán lẻ hàng lâu bền,HOSE,46336278
PMJ,Phân phối và bán lẻ hàng lâu bền,UPCoM,1800000
PMP,Nguyên vật liệu,HNX,4200000
PMS,Nguyên vật liệu,HNX,7227662
PMT,Dịch vụ viễn thông,UPCoM,5000000
PMW,Dịch vụ tiện ích,UPCoM,49999832
PNC,Phân phối và bán lẻ hàng lâu bền,HOSE,11040241
PND,Phân phối và bán lẻ hàng lâu bền,UPCoM,6666666
PNG,Phân phối và bán lẻ hàng lâu bền,UPCoM,9000000
PNJ,Phân phối và bán lẻ hàng lâu bền,HOSE,227612362
PNP,Vận tải,UPCoM,16100000
PNT,Phát triển và quản lý bất động sản,UPCoM,9282802
POB,Phân phối và bán lẻ hàng lâu bền,UPCoM,10900000
POM,Nguyên vật liệu,UPCoM,279676336
POS,Năng lượng,UPCoM,40000000
POT,Công nghệ phần cứng và thiết bị,HNX,19430006
POV,Phân phối và bán lẻ hàng lâu bền,UPCoM,12499612
POW,Dịch vụ tiện ích,HOSE,2341871600
PPC,Dịch vụ tiện ích,HOSE,326235000
PPE,Dịch vụ chuyên biệt và thương mại,HNX,2000000
PPH,Hàng tiêu dùng và trang trí,UPCoM,74670891
PPI,Phát triển và quản lý bất động sản,UPCoM,48290629
PPP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HNX,8799991
PPS,Tư liệu sản xuất,HNX,15000000
PPT,Phân phối và bán lẻ hàng lâu bền,HNX,17324988
PPY,Phân phối và bán lẻ hàng lâu bền,HNX,9343974
PQN,Tư liệu sản xuất,UPCoM,30000000
PRC,Vận tải,HNX,1200000
PRE,Bảo hiểm,HNX,104400000
PRO,"Thực phẩm, đồ uống và thuốc lá",UPCoM,3000000
PRT,Hàng tiêu dùng và trang trí,UPCoM,300000000
PSB,Năng lượng,UPCoM,50000000
PSC,Phân phối và bán lẻ hàng lâu bền,HNX,7200000
PSD,Phân phối và bán lẻ hàng lâu bền,HNX,51827894
PSE,Nguyên vật liệu,HNX,12500000
PSG,Phát triển và quản lý bất động sản,UPCoM,35000000
PSH,Phân phối và bán lẻ hàng lâu bền,HOSE,126196780
PSI,Dịch vụ tài chính,HNX,59841300
PSL,"Thực phẩm, đồ uống và thuốc lá",UPCoM,11812500
PSN,Vận tải,UPCoM,40000000
PSP,Vận tải,UPCoM,40000000
PSW,Nguyên vật liệu,HNX,17000000
PTB,Nguyên vật liệu,HOSE,48599441
PTC,Tư liệu sản xuất,HOSE,17999999
PTD,Tư liệu sản xuất,HNX,4999933
PTE,Nguyên vật liệu,UPCoM,12500000
PTG,Hàng tiêu dùng và trang trí,UPCoM,4996185
PTH,Phân phối và bán lẻ hàng lâu bền,UPCoM,3503164
PTI,Bảo hiểm,HNX,80395709
PTL,Phát triển và quản lý bất động sản,HOSE,100000000
PTO,Tư liệu sản xuất,UPCoM,1200000
PTP,Dịch vụ viễn thông,UPCoM,6800000
PTS,Vận tải,HNX,5568000
PTT,Vận tải,UPCoM,16493172
PTV,Phân phối và bán lẻ hàng lâu bền,UPCoM,20000000
PTX,Phân phối và bán lẻ hàng lâu bền,HNX,6432453
PV2,Phát triển và quản lý bất động sản,HNX,37350000
PVA,Tư liệu sản xuất,UPCoM,21846000
PVB,Năng lượng,HNX,21599998
PVC,Năng lượng,HNX,81194463
PVD,Năng lượng,HOSE,421545789
PVE,Dịch vụ chuyên biệt và thương mại,UPCoM,25000000
PVG,Dịch vụ tiện ích,HNX,39998522
PVH,Tư liệu sản xuất,UPCoM,21000000
PVI,Bảo hiểm,HNX,234241867
PVL,Phát triển và quản lý bất động sản,UPCoM,50000000
PVM,Tư liệu sản xuất,UPCoM,38638600
PVO,Phân phối và bán lẻ hàng lâu bền,UPCoM,8900000
PVP,Vận tải,HOSE,0
PVR,Dịch vụ tài chính,UPCoM,53100913
PVS,Năng lượng,HNX,477966290
PVT,Vận tải,HOSE,323651246
PVV,Phát triển và quản lý bất động sản,UPCoM,30000000
PVX,Tư liệu sản xuất,UPCoM,400000000
PVY,Tư liệu sản xuất,UPCoM,59489787
PWA,Phát triển và quản lý bất động sản,UPCoM,10000000
PWS,Dịch vụ tiện ích,UPCoM,38363579
PX1,Nguyên vật liệu,UPCoM,20000000
PXA,Phát triển và quản lý bất động sản,UPCoM,15000000
PXC,Tư liệu sản xuất,UPCoM,28068900
PXI,Phát triển và quản lý bất động sản,UPCoM,30000000
PXL,Phát triển và quản lý bất động sản,UPCoM,82722212
PXM,Phân phối và bán lẻ hàng lâu bền,UPCoM,15000000
PXS,Tư liệu sản xuất,UPCoM,60000000
PXT,Tư liệu sản xuất,UPCoM,20000000
QBS,Phân phối và bán lẻ hàng lâu bền,UPCoM,69329928
QCC,Tư liệu sản xuất,UPCoM,1500000
QCG,Phát triển và quản lý bất động sản,HOSE,275129310
QHD,Tư liệu sản xuất,HNX,5524716
QHW,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8000000
QNC,Nguyên vật liệu,UPCoM,60000000
QNP,Vận tải,HOSE,0
QNS,"Thực phẩm, đồ uống và thuốc lá",UPCoM,367648153
QNT,Dịch vụ chuyên biệt và thương mại,UPCoM,3222000
QNU,Dịch vụ tiện ích,UPCoM,6800000
QNW,Dịch vụ tiện ích,UPCoM,20000000
QPH,Dịch vụ tiện ích,UPCoM,18583100
QSP,Vận tải,UPCoM,10792275
QST,Truyền thông và giải trí,HNX,3240000
QTC,Tư liệu sản xuất,HNX,2700000
QTP,Dịch vụ tiện ích,UPCoM,450000000
RAL,Hàng tiêu dùng và trang trí,HOSE,12075000
RAT,Vận tải,UPCoM,5921841
RBC,Xe và linh kiện,UPCoM,10030308
RCC,Vận tải,UPCoM,32064749
RCD,Tư liệu sản xuất,UPCoM,5300062
RCL,Phát triển và quản lý bất động sản,HNX,13858714
RDP,Nguyên vật liệu,HOSE,47640586
REE,Dịch vụ tiện ích,HOSE,310058841
RIC,Dịch vụ tiêu dùng,UPCoM,28708169
RTB,Nguyên vật liệu,UPCoM,87945000
S12,Tư liệu sản xuất,UPCoM,5000000
S27,Hàng tiêu dùng và trang trí,UPCoM,1572833
S4A,Dịch vụ tiện ích,HOSE,42200000
S55,Tư liệu sản xuất,HNX,10000000
S72,Dịch vụ tiện ích,UPCoM,12000000
S74,Nguyên vật liệu,UPCoM,6480000
S96,Tư liệu sản xuất,UPCoM,11155532
S99,Tư liệu sản xuất,HNX,99134331
SAB,"Thực phẩm, đồ uống và thuốc lá",HOSE,641281186
SAC,Vận tải,UPCoM,4050000
SAF,"Thực phẩm, đồ uống và thuốc lá",HNX,12046590
SAL,Vận tải,UPCoM,8310000
SAM,Hàng tiêu dùng và trang trí,HOSE,349997190
SAP,Dịch vụ chuyên biệt và thương mại,UPCoM,1286984
SAS,Phân phối và bán lẻ hàng lâu bền,UPCoM,133481310
SAV,Hàng tiêu dùng và trang trí,HOSE,16019967
SB1,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10500000
SBA,Dịch vụ tiện ích,HOSE,60488261
SBB,"Thực phẩm, đồ uống và thuốc lá",UPCoM,87524536
SBD,Truyền thông và giải trí,UPCoM,13514680
SBG,Tư liệu sản xuất,HOSE,0
SBH,Dịch vụ tiện ích,UPCoM,124225000
SBL,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12012000
SBM,Dịch vụ tiện ích,UPCoM,45044953
SBR,Nguyên vật liệu,UPCoM,81396192
SBS,Dịch vụ tài chính,UPCoM,146607600
SBT,"Thực phẩm, đồ uống và thuốc lá",HOSE,617158147
SBV,Hàng tiêu dùng và trang trí,HOSE,27366476
SC5,Tư liệu sản xuất,HOSE,14984550
SCC,Nguyên vật liệu,UPCoM,4884900
SCD,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8500000
SCG,Tư liệu sản xuất,HNX,85000000
SCI,Tư liệu sản xuất,HNX,25409847
SCJ,Nguyên vật liệu,UPCoM,57839000
SCL,Nguyên vật liệu,UPCoM,18660895
SCO,Phân phối và bán lẻ hàng lâu bền,UPCoM,4200000
SCR,Phát triển và quản lý bất động sản,HOSE,366356303
SCS,Vận tải,HOSE,50745700
SCY,Tư liệu sản xuất,UPCoM,61968926
SD1,Tư liệu sản xuất,UPCoM,5000000
SD2,Tư liệu sản xuất,UPCoM,14423536
SD3,Dịch vụ tiện ích,UPCoM,15999356
SD4,Tư liệu sản xuất,UPCoM,10300000
SD5,Tư liệu sản xuất,HNX,25999848
SD6,Tư liệu sản xuất,UPCoM,34771611
SD7,Tư liệu sản xuất,UPCoM,10600000
SD8,Tư liệu sản xuất,UPCoM,2800000
SD9,Tư liệu sản xuất,HNX,34234000
SDA,Dịch vụ chuyên biệt và thương mại,HNX,26206158
SDB,Tư liệu sản xuất,UPCoM,11000000
SDC,Dịch vụ chuyên biệt và thương mại,HNX,2609710
SDD,Tư liệu sản xuất,UPCoM,16007685
SDG,Nguyên vật liệu,HNX,10139997
SDJ,Tư liệu sản xuất,UPCoM,4343700
SDK,Tư liệu sản xuất,UPCoM,2600000
SDN,Nguyên vật liệu,HNX,3036436
SDP,Phân phối và bán lẻ hàng lâu bền,UPCoM,11114472
SDT,Tư liệu sản xuất,UPCoM,42732311
SDU,Phát triển và quản lý bất động sản,HNX,20000000
SDV,Dịch vụ chuyên biệt và thương mại,UPCoM,5000000
SDX,Tư liệu sản xuất,UPCoM,2250000
SDY,Nguyên vật liệu,UPCoM,4500000
SEA,"Thực phẩm, đồ uống và thuốc lá",UPCoM,125000000
SEB,Dịch vụ tiện ích,HNX,31999969
SED,Truyền thông và giải trí,HNX,10000000
SEP,"Thực phẩm, đồ uống và thuốc lá",UPCoM,8400000
SFC,Phân phối và bán lẻ hàng lâu bền,HOSE,11291459
SFG,Nguyên vật liệu,HOSE,47897333
SFI,Vận tải,HOSE,15753069
SFN,Nguyên vật liệu,HNX,3000000
SGB,Tổ chức tín dụng,UPCoM,338799141
SGC,"Thực phẩm, đồ uống và thuốc lá",HNX,7147580
SGD,Truyền thông và giải trí,HNX,4137000
SGH,Dịch vụ tiêu dùng,HNX,12364100
SGI,Hàng tiêu dùng và trang trí,UPCoM,75464700
SGN,Vận tải,HOSE,33581691
SGP,Vận tải,UPCoM,216294961
SGR,Phát triển và quản lý bất động sản,HOSE,60000000
SGS,Vận tải,UPCoM,14420000
SGT,Dịch vụ viễn thông,HOSE,74001914
SHA,Hàng tiêu dùng và trang trí,HOSE,31853976
SHB,Tổ chức tín dụng,HOSE,3067383196
SHC,Vận tải,UPCoM,4309550
SHE,Tư liệu sản xuất,HNX,11502516
SHG,Tư liệu sản xuất,UPCoM,27000000
SHI,Nguyên vật liệu,HOSE,91425927
SHN,Phân phối và bán lẻ hàng lâu bền,HNX,129607147
SHP,Dịch vụ tiện ích,HOSE,93710200
SHS,Dịch vụ tài chính,HNX,813156748
SID,Phát triển và quản lý bất động sản,UPCoM,100000000
SIG,Dịch vụ chuyên biệt và thương mại,UPCoM,10000000
SII,Dịch vụ tiện ích,UPCoM,64522104
SIP,Phát triển và quản lý bất động sản,HOSE,90904146
SIV,Nguyên vật liệu,UPCoM,3012374
SJ1,"Thực phẩm, đồ uống và thuốc lá",HNX,23485154
SJC,Phát triển và quản lý bất động sản,UPCoM,7226082
SJD,Dịch vụ tiện ích,HOSE,68998620
SJE,Tư liệu sản xuất,HNX,24168711
SJG,Tư liệu sản xuất,UPCoM,449537112
SJM,Tư liệu sản xuất,UPCoM,5000000
SJS,Phát triển và quản lý bất động sản,HOSE,114855540
SKG,Vận tải,HOSE,63331735
SKH,"Thực phẩm, đồ uống và thuốc lá",UPCoM,16126740
SKN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5000000
SKV,"Thực phẩm, đồ uống và thuốc lá",UPCoM,23000000
SLS,"Thực phẩm, đồ uống và thuốc lá",HNX,9791945
SMA,Phân phối và bán lẻ hàng lâu bền,HOSE,20352836
SMB,"Thực phẩm, đồ uống và thuốc lá",HOSE,29846648
SMC,Phân phối và bán lẻ hàng lâu bền,HOSE,60994691
SMN,Truyền thông và giải trí,HNX,4405000
SMT,Công nghệ phần cứng và thiết bị,HNX,5467432
SNC,"Thực phẩm, đồ uống và thuốc lá",UPCoM,5000000
SNZ,Phát triển và quản lý bất động sản,UPCoM,376500000
SP2,Dịch vụ tiện ích,UPCoM,20746000
SPB,Hàng tiêu dùng và trang trí,UPCoM,13300087
SPC,Nguyên vật liệu,HNX,10530000
SPD,"Thực phẩm, đồ uống và thuốc lá",UPCoM,12000000
SPH,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10000000
SPI,Nguyên vật liệu,HNX,16815000
SPM,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,14000000
SPV,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10800000
SQC,Nguyên vật liệu,UPCoM,110000000
SRA,Phân phối và bán lẻ hàng lâu bền,HNX,43199974
SRB,Dịch vụ tiêu dùng,UPCoM,8500000
SRC,Xe và linh kiện,HOSE,28065765
SRF,Tư liệu sản xuất,HOSE,32495397
SSB,Tổ chức tín dụng,HOSE,1208744208
SSC,"Thực phẩm, đồ uống và thuốc lá",HOSE,0
SSF,Hàng tiêu dùng và trang trí,UPCoM,3200000
SSG,Vận tải,UPCoM,5000000
SSH,Phát triển và quản lý bất động sản,UPCoM,375000000
SSI,Dịch vụ tài chính,HOSE,657305104
SSM,Nguyên vật liệu,HNX,5501024
SSN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,39600000
ST8,Phân phối và bán lẻ hàng lâu bền,HOSE,25720902
STB,Tổ chức tín dụng,HOSE,1885215716
STC,Truyền thông và giải trí,HNX,5665530
STG,Vận tải,HOSE,98253357
STH,Phân phối và bán lẻ hàng lâu bền,UPCoM,19500000
STK,Hàng tiêu dùng và trang trí,HOSE,70726944
STL,Phát triển và quản lý bất động sản,UPCoM,15000000
STP,Nguyên vật liệu,HNX,8045744
STS,Vận tải,UPCoM,2768221
STT,Vận tải,UPCoM,8000000
STW,Dịch vụ tiện ích,UPCoM,15863133
SVC,Phân phối và bán lẻ hàng lâu bền,HOSE,33320532
SVD,Hàng tiêu dùng và trang trí,HOSE,12900000
SVG,Hàng tiêu dùng và trang trí,UPCoM,29350000
SVH,Dịch vụ tiện ích,UPCoM,14820662
SVI,Nguyên vật liệu,HOSE,12832437
SVN,"Thực phẩm, đồ uống và thuốc lá",HNX,21000000
SVT,Xe và linh kiện,HOSE,11579574
SWC,Vận tải,UPCoM,67100000
SZB,Phát triển và quản lý bất động sản,HNX,30000000
SZC,Phát triển và quản lý bất động sản,HOSE,100000000
SZE,Dịch vụ tiện ích,UPCoM,30000000
SZG,Phát triển và quản lý bất động sản,UPCoM,54898000
SZL,Phát triển và quản lý bất động sản,HOSE,20000000
TA6,Tư liệu sản xuất,UPCoM,3000000
TA9,Tư liệu sản xuất,HNX,12419787
TAB,Nguyên vật liệu,UPCoM,6500000
TAL,Phát triển và quản lý bất động sản,UPCoM,297000000
TAN,"Thực phẩm, đồ uống và thuốc lá",UPCoM,1613690
TAR,"Thực phẩm, đồ uống và thuốc lá",UPCoM,78319777
TAW,Dịch vụ tiện ích,UPCoM,5000000
TB8,Tư liệu sản xuất,UPCoM,1250000
TBC,Dịch vụ tiện ích,HOSE,63500000
TBD,Hàng tiêu dùng và trang trí,UPCoM,32486392
TBH,Phát triển và quản lý bất động sản,UPCoM,93117800
TBR,Phát triển và quản lý bất động sản,UPCoM,8060000
TBT,Tư liệu sản xuất,UPCoM,1656470
TBW,Dịch vụ tiện ích,UPCoM,9850000
TBX,Nguyên vật liệu,HNX,1510280
TCB,Tổ chức tín dụng,HOSE,3504906230
TCD,Tư liệu sản xuất,HOSE,82294590
TCH,Phát triển và quản lý bất động sản,HOSE,399175744
TCI,Dịch vụ tài chính,HOSE,0
TCJ,"Thực phẩm, đồ uống và thuốc lá",UPCoM,10000000
TCK,Tư liệu sản xuất,UPCoM,23850000
TCL,Vận tải,HOSE,30158436
TCM,Hàng tiêu dùng và trang trí,HOSE,71360808
TCO,Vận tải,HOSE,18711000
TCR,Nguyên vật liệu,HOSE,10373190
TCT,Vận tải,HOSE,12788000
TCW,Vận tải,UPCoM,19991020
TDB,Dịch vụ tiện ích,UPCoM,8230000
TDC,Phát triển và quản lý bất động sản,HOSE,100000000
TDF,Nguyên vật liệu,UPCoM,30000000
TDG,Phân phối và bán lẻ hàng lâu bền,HOSE,16770000
TDH,Phát triển và quản lý bất động sản,HOSE,112652767
TDM,Dịch vụ tiện ích,HOSE,100000000
TDP,Nguyên vật liệu,HOSE,53759837
TDS,Nguyên vật liệu,UPCoM,12225393
TDT,Hàng tiêu dùng và trang trí,HNX,23896534
TDW,Dịch vụ tiện ích,HOSE,8500000
TED,Tư liệu sản xuất,UPCoM,12500000
TEG,Phát triển và quản lý bất động sản,HOSE,32383642
TEL,Tư liệu sản xuất,UPCoM,5000000
TET,Hàng tiêu dùng và trang trí,HNX,5702940
TFC,"Thực phẩm, đồ uống và thuốc lá",HNX,16829994
TGG,Phát triển và quản lý bất động sản,UPCoM,27299990
TGP,Dịch vụ viễn thông,UPCoM,11698575
TH1,Phân phối và bán lẻ hàng lâu bền,UPCoM,13539267
THB,"Thực phẩm, đồ uống và thuốc lá",HNX,11424570
THD,Tư liệu sản xuất,HNX,384999972
THG,Nguyên vật liệu,HOSE,14519560
THM,Hàng tiêu dùng và trang trí,UPCoM,12152800
THN,Dịch vụ tiện ích,UPCoM,32995411
THP,"Thực phẩm, đồ uống và thuốc lá",UPCoM,21611185
THS,Phân phối và bán lẻ hàng lâu bền,HNX,3000000
THT,Năng lượng,HNX,24569052
THU,Dịch vụ tiện ích,UPCoM,3297790
THW,Dịch vụ tiện ích,UPCoM,5000000
TID,"Thực phẩm, đồ uống và thuốc lá",UPCoM,200000000
TIE,Phân phối và bán lẻ hàng lâu bền,UPCoM,9569900
TIG,Phát triển và quản lý bất động sản,HNX,193606205
TIN,Tổ chức tín dụng,UPCoM,91178331
TIP,Phát triển và quản lý bất động sản,HOSE,26003143
TIS,Nguyên vật liệu,UPCoM,184000000
TIX,Phát triển và quản lý bất động sản,HOSE,30000000
TJC,Vận tải,HNX,8600000
TKA,Nguyên vật liệu,UPCoM,3800000
TKC,Tư liệu sản xuất,UPCoM,15674712
TKG,Hàng tiêu dùng và trang trí,HNX,6315312
TKU,Nguyên vật liệu,HNX,7255744
TL4,Tư liệu sản xuất,UPCoM,16008338
TLD,Tư liệu sản xuất,HOSE,39956372
TLG,Hàng tiêu dùng và trang trí,HOSE,77794453
TLH,Phân phối và bán lẻ hàng lâu bền,HOSE,102110621
TLI,Hàng tiêu dùng và trang trí,UPCoM,3000000
TLP,Phân phối và bán lẻ hàng lâu bền,UPCoM,236600000
TLT,Nguyên vật liệu,UPCoM,6989800
TMB,Năng lượng,HNX,15000000
TMC,Phân phối và bán lẻ hàng lâu bền,HNX,12400000
TMG,Nguyên vật liệu,UPCoM,18000000
TMP,Dịch vụ tiện ích,HOSE,70000000
TMS,Vận tải,HOSE,81442935
TMT,Xe và linh kiện,HOSE,37287680
TMW,Nguyên vật liệu,UPCoM,4662350
TMX,Nguyên vật liệu,HNX,6000000
TN1,Phát triển và quản lý bất động sản,HOSE,23335809
TNA,Phân phối và bán lẻ hàng lâu bền,HOSE,39730884
TNB,Nguyên vật liệu,UPCoM,14490000
TNC,Nguyên vật liệu,HOSE,19250000
TNG,Hàng tiêu dùng và trang trí,HNX,122601206
TNH,Dịch vụ và thiết bị chăm sóc sức khỏe,HOSE,41500000
TNI,Phân phối và bán lẻ hàng lâu bền,HOSE,52500000
TNM,Tư liệu sản xuất,UPCoM,5800000
TNP,Vận tải,UPCoM,7100000
TNS,Nguyên vật liệu,UPCoM,20000000
TNT,Nguyên vật liệu,HOSE,25500000
TNW,Dịch vụ tiện ích,UPCoM,16000000
TOP,Phân phối và bán lẻ hàng lâu bền,UPCoM,25350000
TOS,Vận tải,UPCoM,30999886
TOT,Vận tải,HNX,9207842
TOW,Dịch vụ tiện ích,UPCoM,7978150
TPB,Tổ chức tín dụng,HOSE,1071671722
TPC,Nguyên vật liệu,HOSE,24430596
TPH,Truyền thông và giải trí,HNX,2095985
TPP,Nguyên vật liệu,HNX,45000000
TPS,Vận tải,UPCoM,5000000
TQN,Nguyên vật liệu,UPCoM,3600000
TQW,Dịch vụ tiện ích,UPCoM,8933200
TR1,Vận tải,UPCoM,4592490
TRA,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,41453673
TRC,Nguyên vật liệu,HOSE,30000000
TRS,Vận tải,UPCoM,6544268
TRT,Nguyên vật liệu,UPCoM,11000000
TS3,Tư liệu sản xuất,UPCoM,3851880
TS4,"Thực phẩm, đồ uống và thuốc lá",UPCoM,16160646
TSA,Tư liệu sản xuất,UPCoM,35000000
TSB,Hàng tiêu dùng và trang trí,HNX,6745480
TSC,Phân phối và bán lẻ hàng lâu bền,HOSE,147648084
TSD,Dịch vụ tiêu dùng,UPCoM,1300000
TSG,Vận tải,UPCoM,3074100
TSJ,Vận tải,UPCoM,74800000
TST,Tư liệu sản xuất,UPCoM,4800000
TT6,"Thực phẩm, đồ uống và thuốc lá",UPCoM,20545800
TTA,Dịch vụ tiện ích,HOSE,135000000
TTB,Phân phối và bán lẻ hàng lâu bền,UPCoM,101509583
TTC,Nguyên vật liệu,HNX,5992348
TTD,Dịch vụ và thiết bị chăm sóc sức khỏe,UPCoM,15552000
TTE,Dịch vụ tiện ích,HOSE,28490400
TTF,Hàng tiêu dùng và trang trí,HOSE,311198302
TTG,Hàng tiêu dùng và trang trí,UPCoM,3400000
TTH,Phân phối và bán lẻ hàng lâu bền,HNX,37374846
TTL,Tư liệu sản xuất,HNX,41908000
TTN,Dịch vụ viễn thông,UPCoM,36727500
TTP,Nguyên vật liệu,UPCoM,14999998
TTS,Nguyên vật liệu,UPCoM,50800000
TTT,Dịch vụ chuyên biệt và thương mại,HNX,4570210
TTZ,Vận tải,UPCoM,7570444
TUG,Vận tải,UPCoM,2700000
TV1,Dịch vụ chuyên biệt và thương mại,UPCoM,26691319
TV2,Dịch vụ chuyên biệt và thương mại,HOSE,36014952
TV3,Dịch vụ chuyên biệt và thương mại,HNX,9517303
TV4,Dịch vụ chuyên biệt và thương mại,HNX,19846016
TV6,Tư liệu sản xuất,UPCoM,3000000
TVA,Phân phối và bán lẻ hàng lâu bền,UPCoM,6300000
TVB,Dịch vụ tài chính,HOSE,0
TVC,Dịch vụ tài chính,HNX,118610670
TVD,Năng lượng,HNX,44962864
TVG,Dịch vụ chuyên biệt và thương mại,UPCoM,2029589
TVH,Dịch vụ chuyên biệt và thương mại,UPCoM,4004000
TVM,Dịch vụ chuyên biệt và thương mại,UPCoM,2400000
TVN,Nguyên vật liệu,UPCoM,678000000
TVS,Dịch vụ tài chính,HOSE,98235174
TVT,Hàng tiêu dùng và trang trí,HOSE,21000000
TW3,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,1750000
TXM,Nguyên vật liệu,HNX,7000000
TYA,Hàng tiêu dùng và trang trí,HOSE,6134773
UCT,Dịch vụ tiện ích,UPCoM,5344345
UDC,Tư liệu sản xuất,UPCoM,35000000
UDJ,Phát triển và quản lý bất động sản,UPCoM,16500000
UDL,Dịch vụ chuyên biệt và thương mại,UPCoM,6620000
UEM,Hàng tiêu dùng và trang trí,UPCoM,2438100
UIC,Dịch vụ tiện ích,HOSE,8000000
UMC,Dịch vụ chuyên biệt và thương mại,UPCoM,1841617
UNI,Phân phối và bán lẻ hàng lâu bền,HNX,15617632
UPC,Dịch vụ tiện ích,UPCoM,3400000
UPH,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,13294641
USC,Dịch vụ chuyên biệt và thương mại,UPCoM,5500000
USD,Dịch vụ chuyên biệt và thương mại,UPCoM,5600000
V11,Tư liệu sản xuất,UPCoM,8399889
V12,Tư liệu sản xuất,HNX,11636000
V15,Tư liệu sản xuất,UPCoM,10000000
V21,Phát triển và quản lý bất động sản,HNX,11999789
VAB,Tổ chức tín dụng,UPCoM,539960043
VAF,Nguyên vật liệu,HOSE,37665348
VAV,Dịch vụ tiện ích,UPCoM,32000000
VBB,Tổ chức tín dụng,UPCoM,571153270
VBC,Nguyên vật liệu,HNX,7499972
VBG,Dịch vụ chuyên biệt và thương mại,UPCoM,8600000
VBH,Chất bán dẫn và thiết bị bán dẫn,UPCoM,2900000
VC1,Tư liệu sản xuất,HNX,12000000
VC2,Tư liệu sản xuất,HNX,68769410
VC3,Phát triển và quản lý bất động sản,HNX,125150939
VC5,Tư liệu sản xuất,UPCoM,5000000
VC6,Tư liệu sản xuất,HNX,9679686
VC7,Phát triển và quản lý bất động sản,HNX,96090870
VC9,Tư liệu sản xuất,HNX,17000000
VCA,Nguyên vật liệu,HOSE,15187322
VCB,Tổ chức tín dụng,HOSE,4732516571
VCC,Tư liệu sản xuất,HNX,24000000
VCE,Nguyên vật liệu,UPCoM,5000000
VCF,"Thực phẩm, đồ uống và thuốc lá",HOSE,26579135
VCG,Tư liệu sản xuất,HOSE,441710673
VCI,Dịch vụ tài chính,HOSE,333000000
VCM,Phân phối và bán lẻ hàng lâu bền,HNX,3000000
VCP,Dịch vụ tiện ích,UPCoM,83789658
VCR,Phát triển và quản lý bất động sản,UPCoM,210000000
VCS,Nguyên vật liệu,HNX,160000000
VCT,Dịch vụ chuyên biệt và thương mại,UPCoM,1100000
VCW,Dịch vụ tiện ích,UPCoM,75000000
VCX,Nguyên vật liệu,UPCoM,26530000
VDB,Năng lượng,UPCoM,8678238
VDG,Hàng tiêu dùng và trang trí,UPCoM,5000000
VDL,"Thực phẩm, đồ uống và thuốc lá",HNX,14657150
VDN,Hàng tiêu dùng và trang trí,UPCoM,3142910
VDP,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",HOSE,16082904
VDS,Dịch vụ tài chính,HOSE,100099906
VDT,Nguyên vật liệu,UPCoM,1965440
VE1,Tư liệu sản xuất,HNX,6000000
VE2,Tư liệu sản xuất,UPCoM,2158880
VE3,Tư liệu sản xuất,HNX,1319710
VE4,Tư liệu sản xuất,HNX,1028000
VE8,Tư liệu sản xuất,HNX,1800000
VE9,Tư liệu sản xuất,UPCoM,12523613
VEA,Tư liệu sản xuất,UPCoM,1328800000
VEC,Hàng tiêu dùng và trang trí,UPCoM,43800000
VEF,Dịch vụ chuyên biệt và thương mại,UPCoM,166604050
VES,Phát triển và quản lý bất động sản,UPCoM,9007500
VET,"Dược phẩm, Công nghệ sinh học và Khoa học thường thức",UPCoM,16000000
VFC,Vận tải,UPCoM,34000000
VFG,Phân phối và bán lẻ hàng lâu bền,HOSE,0
VFR,Vận tải,UPCoM,15000000
VFS,Dịch vụ tài chính,HNX,120000000
VGC,Nguyên vật liệu,HOSE,448350000
VGG,Hàng tiêu dùng và trang trí,UPCoM,44100000
