ticker,yearReport,lengthReport,P/B,Market Capital,Outstanding Share,P/E,P/S,P/Cash Flow,EPS (VND),BVPS (VND),EV/EBITDA,Gross Profit Margin (%),Net Profit Margin (%),ROE (%),ROIC (%),ROA (%),Biên EBIT (%),EBITDA (Bn. VND),EBIT (Bn. VND),Current Ratio,Cash Ratio,Quick Ratio,Interest Coverage,Financial Leverage,Asset Turnover,Fixed Asset Turnover,Days Sales Outstanding,Days Payable Outstanding,Cash Cycle,(ST+LT borrowings)/Equity,Debt/Equity,Fixed Asset-To-Equity,Owners' Equity/Charter Capital
ORS,2022,1,1.2325164503,2950000000000.0,200000000.0,7.4093787586,1.5512601758,-1.5741562497,1106.99910739,11967.385909355,3.9246866522,0.4751010354391271,0.2730178245468286,0.1733414594,0.2302694741,0.0684681898,0.428734455318534,660165445206.0,347675951292.0,5.4375505018,2.7234377498,5.4375505018,-5.081682157686118,2.2463770123532276,0.3841121284,120.1011494493,0.0,0.3339397117,0.0,0.1821826434,1.2463770124,0.006271316617385242,0.7123449442254484
ORS,2021,4,2.324963232,5050000000000.0,200000000.0,17.4112073144,3.7517770836,-1.1380220918,170.698664705,10860.386801965,10.4517973645,0.34751725496217695,0.07515203681279913,0.1345109544,0.1759595594,0.0605184972,0.2342691311592365,448816825223.0,106422738668.0,7.9935287263,3.2590444211,7.9935287263,-1.7796257511790723,2.19081418117334,0.3866435797,118.2884541793,0.0,0.1111773962,0.0,0.15931753,1.1933242908,0.007262495554333704,0.6475714273718953
ORS,2021,3,2.0917976052,4480000000000.0,200000000.0,12.9546318371,4.3493574021,-0.8159074843,148.4630917,10708.49299385,11.0204246671,0.3623808541807336,0.08465030090176993,0.1530287876,0.114854552,0.0560873603,0.2807645615148743,385055768720.0,98483228998.0,3.0647351897,1.7504781552,3.0647351897,-1.8895392585234485,2.861199904879835,0.2869085331,89.5790427444,0.0,0.7020800425,0.0,0.5509645478,1.8611999049,0.007318220359765567,0.6374107847963443
ORS,2021,2,2.6919249424,5683000000000.0,200000000.0,15.4514942075,7.2583865129,-1.3725140107,268.716199485,10555.64349215,15.7147713014,0.43008261248628354,0.18811026499584318,0.2226648204,0.2928543345,0.0805196314,0.34641779656135624,326248682795.0,98971817118.0,8.2717831924,5.0744951802,8.2717831924,-2.3523098869788663,3.178788930938152,0.3241981549,92.6164684088,0.0,0.9966842437,0.0,0.0,2.1787889309,0.015164980719883323,0.33069331794994855
ORS,2021,1,2.0851707599,4290000000000.0,200000000.0,10.910913008,7.6359611301,-0.9128078317,484.347212875,10286.927292665,17.758113595,0.6090934249477962,0.37959446536506,0.2220927589,0.2261045122,0.0911582346,0.5414997562044925,240394177973.0,138186365514.0,5.1281463582,2.4358618466,5.1281463582,-5.557674305643638,2.4104242825762823,0.337740925,108.1800001086,0.0,0.1519429257,0.0,0.0,1.4104242826,0.006160948333863141,0.3146982938415521
ORS,2020,4,2.109282892,2026000000000.0,100000000.0,22.6962123509,5.1932048656,-2.9198803183,210.55278985,9605.16015958,8.0857495619,0.48724701452931196,0.15215930596517688,0.144939856,0.140332395,0.0706721444,0.3314925430647106,135959213510.0,45870792663.0,9.1282589032,6.1021783487,9.1282589032,-1.8541954159087095,2.257705191700733,0.3088632236,74.1124622729,0.0,1.1604765528,0.0,0.0,1.2889400843,0.007298509381126465,0.28366861277837346
ORS,2020,3,3.559604246,1323000000000.0,100000000.0,9.1319407817,3.8509921902,-3.3232188534,227.9137721,3716.70530922,3.4858740211,0.5192783506101599,0.2198090252995412,0.2471112341,0.303016509,0.1235371737,0.4086318258854943,113696636389.0,42369880268.0,25.221377879,18.8199283755,25.221377879,-2.6882565647196053,3.840906424630127,0.5195988409,94.8741472734,0.0,0.6887395652,0.0,0.0,2.8409064246,0.009400411187652733,0.11061631404938307
ORS,2020,2,1.1530581742,402277960000.0,43960000.0,4.8075124075,1.3605499552,-14.3980242407,248.4330457233849,7936.2864811647,2.3683449851,0.331291292982195,0.16916311590490762,0.2678594961,0.208727493,0.2175051746,0.19598276855167263,86335163767.0,12652584892.0,2.869201159,1.4850250798,2.869201159,-17.226279283943917,1.5066127788560977,0.8048051827,83.7544815832,0.0,0.8063901559,0.0,0.1714963458,0.5066127789,0.010916680175577368,0.10383316088191175
ORS,2020,1,0.9625573721,325304000000.0,43960000.0,4.0715939143,1.2677535487,4.7515954801,616.6518886032757,7687.8534354413,0.6106723193,0.5148482227794006,0.31283448471132413,0.2794209216,0.2311847966,0.2531721037,0.3756215559259052,79027185905.0,32548699168.0,11.9341798689,9.564944272,11.9341798689,-196.60496093463368,1.0869041805598134,0.8722516498,75.5899534407,0.0,5.2773091848,0.0,0.0,0.0869041806,0.010682911543733981,0.10058282604757826
ORS,2019,4,0.9477532204,257078080000.0,43960000.0,4.3027200356,1.4829649701,-3.2345518261,474.514798066424,6170.3826205414,3.2332958052,0.3902203690151662,0.23530880818967248,0.3313618151,0.1511479769,0.2723245364,0.2825909675926393,43962512705.0,25051142463.0,5.4464851792,2.1454867172,5.4464851792,-846.635835984005,1.229686634737137,0.8683537052,83.1576419131,0.0,2.33167657,0.0,0.0552995351,0.2078770888,0.013546322549426363,0.07846816437773287
